44,0.9135070063162481
86,0.8684423820409748
175,1.1920058611905229
350,0.9695457508181555
705,0.9109151378692503
1408,1.208033695168497
2830,1.0612442581956938
5761,1.4475679842749258
11277,1.4126177865812748
22466,1.606105433011983
45085,1.78668970665162
91001,1.6427095358781973
181828,1.636375923956676
361148,1.7280930083059136
799391,1.5541886988920164
1428807,1.3115869312189634
5538243,3.2693898511249055
10352315,3.4321505710410545
28623064,3.2942430324680427
38801988,3.2552981077937724
72522369,3.6748628655222197

